compactness,circularity,distance_circularity,radius_ratio,pr_axis,max_length_aspect_ratio,scatter_ratio,elongatedness,pr_axis_rectangularity,max_length_rect,scaled_var_major_axis,scaled_var_minor_axis,scaled_radius_of_gyration,skewness_major_axis,skewness_minor_axis,kurtosis_minor_axis,kurtosis_major_axis,hollows_ratio,vehicle_name
91,46,75.0,185,75,7,154,42,19,147,178,362,192.0,72,8,8,192.0,199,bus
89,47,83.0,322,133,48,158,43,20,163,229,364,176.0,97,0,14,184.0,194,van
94,36,68.0,127,54,7,127,52,18,132,155,242,116.0,66,1,2,195.0,196,van
103,54,91.0,179,57,11,220,31,25,170,220,707,198.0,72,1,32,186.0,198,opel
98,54,104.0,186,59,10,213,32,24,172,223,665,,73,1,26,186.0,195,opel
102,45,85.0,193,64,6,192,33,22,146,217,570,163.0,76,6,7,195.0,193,bus
91,36,60.0,126,56,6,119,56,17,130,139,211,118.0,67,6,14,192.0,198,van
107,55,98.0,199,59,7,240,27,26,168,258,866,245.0,80,3,1,186.0,184,bus
80,45,,128,56,7,151,45,19,147,171,337,176.0,79,3,16,181.0,187,bus
88,44,70.0,151,61,8,143,46,18,143,163,311,173.0,68,7,8,196.0,203,bus
96,36,74.0,183,70,6,149,43,19,127,178,341,127.0,69,0,17,201.0,205,bus
86,48,75.0,136,58,10,161,43,20,163,170,371,185.0,75,3,1,183.0,192,van
93,39,,180,59,9,167,39,20,134,186,418,129.0,63,6,17,197.0,204,saab
91,40,83.0,166,60,8,160,41,20,133,189,383,,72,5,7,186.0,191,saab
90,37,80.0,171,58,9,157,42,20,132,172,373,115.0,60,3,18,201.0,209,saab
96,49,98.0,187,59,6,213,31,24,152,228,680,210.0,77,8,28,188.0,189,bus
97,43,73.0,173,65,6,153,42,19,143,176,361,172.0,66,13,1,200.0,204,bus
79,39,72.0,127,53,9,142,48,19,135,165,295,144.0,77,7,21,181.0,189,opel
84,38,83.0,141,54,7,149,45,19,132,177,327,149.0,74,6,29,185.0,191,saab
90,48,78.0,134,56,11,160,43,20,167,169,366,185.0,76,1,14,182.0,192,van
106,53,98.0,193,60,10,215,31,24,169,224,681,218.0,73,8,21,188.0,197,saab
73,37,53.0,111,54,6,126,55,18,128,135,227,147.0,82,1,15,176.0,184,opel
98,55,108.0,168,53,11,224,30,25,178,231,737,217.0,73,8,30,187.0,198,opel
91,36,72.0,162,60,8,150,44,19,133,166,334,121.0,63,2,22,196.0,205,saab
88,40,73.0,173,68,7,150,44,19,137,174,341,151.0,69,2,20,196.0,200,bus
103,54,107.0,218,64,12,222,30,25,174,221,728,,67,0,18,189.0,200,opel
93,42,64.0,158,68,9,134,49,18,142,163,268,170.0,71,7,13,192.0,201,van
99,55,101.0,206,62,13,222,30,25,180,225,722,213.0,71,2,3,186.0,196,opel
106,49,96.0,201,61,10,181,36,21,158,197,494,180.0,62,19,15,202.0,209,opel
99,55,101.0,219,68,10,224,30,25,178,228,737,213.0,74,11,20,187.0,196,opel
97,42,101.0,186,59,9,186,36,22,138,208,511,168.0,67,7,41,194.0,206,saab
93,45,81.0,177,64,7,160,41,20,147,180,383,188.0,70,11,11,192.0,199,saab
82,43,73.0,154,65,7,151,44,19,143,178,341,160.0,76,5,11,185.0,189,bus
97,47,81.0,183,64,8,168,39,20,150,193,426,182.0,70,11,2,192.0,198,opel
88,37,51.0,105,52,5,119,57,17,128,135,207,125.0,86,8,16,179.0,183,van
90,43,81.0,231,97,46,150,45,19,149,200,332,164.0,91,5,9,186.0,196,van
80,44,68.0,135,59,8,150,45,19,145,170,329,173.0,80,7,12,180.0,185,bus
113,48,98.0,208,62,9,203,33,23,151,216,613,183.0,64,17,29,193.0,204,saab
97,44,96.0,195,63,9,185,36,22,144,202,512,165.0,66,4,8,191.0,199,saab
91,46,78.0,148,61,9,147,45,19,152,168,323,199.0,70,13,11,189.0,200,van
109,47,96.0,206,64,9,198,33,23,150,219,586,191.0,70,4,13,190.0,198,saab
89,46,74.0,135,59,9,157,44,20,158,170,356,177.0,79,12,3,184.0,191,van
99,53,105.0,219,66,11,204,32,23,165,221,623,224.0,68,0,6,191.0,201,saab
95,49,92.0,193,62,10,178,37,21,154,200,478,171.0,64,2,0,198.0,206,opel
106,54,100.0,227,67,4,250,27,27,162,280,923,262.0,88,5,11,182.0,182,bus
95,42,96.0,197,65,9,178,37,21,141,199,474,,67,1,29,193.0,200,opel
92,38,71.0,174,66,7,154,43,19,133,181,355,130.0,70,4,24,189.0,195,saab
108,52,109.0,182,55,12,216,31,24,171,229,687,214.0,72,10,28,189.0,201,saab
106,53,98.0,154,47,4,237,28,26,164,263,838,222.0,82,4,17,185.0,184,bus
88,43,70.0,177,74,19,152,44,19,143,180,342,168.0,76,1,9,186.0,189,bus
103,49,100.0,194,60,10,185,35,22,160,202,518,178.0,62,13,8,198.0,208,saab
94,47,85.0,333,138,49,155,43,19,155,320,354,187.0,135,12,9,188.0,196,van
85,35,64.0,129,57,6,116,57,17,125,138,200,123.0,65,1,23,196.0,203,van
89,47,85.0,147,58,10,153,44,19,151,175,349,186.0,74,13,7,186.0,197,van
109,48,107.0,215,62,10,205,32,23,158,222,624,168.0,65,9,32,195.0,206,opel
104,54,100.0,186,61,10,216,31,24,173,225,686,220.0,74,5,11,185.0,195,saab
91,52,98.0,196,62,9,193,34,22,161,216,562,244.0,69,3,1,190.0,199,opel
98,52,86.0,207,69,5,192,33,22,161,212,570,221.0,75,4,6,194.0,195,bus
79,40,80.0,133,55,7,147,47,19,135,172,311,144.0,76,8,30,181.0,193,opel
77,38,63.0,135,59,5,130,52,18,130,145,247,139.0,79,13,21,183.0,187,opel
82,43,70.0,250,105,55,139,48,18,145,231,289,172.0,99,4,9,190.0,199,van
89,48,85.0,189,64,8,169,39,20,153,188,427,190.0,64,16,5,195.0,201,saab
83,46,71.0,156,70,6,151,44,19,147,174,338,198.0,80,3,11,181.0,186,bus
95,41,82.0,170,65,9,145,46,19,145,163,314,140.0,64,4,8,199.0,207,van
104,57,103.0,222,72,12,221,30,25,177,223,718,218.0,72,11,12,186.0,195,opel
91,42,66.0,169,66,7,145,44,19,140,169,325,159.0,67,4,0,201.0,207,bus
109,52,95.0,189,58,4,227,29,25,158,262,776,217.0,82,0,19,187.0,186,bus
95,47,73.0,195,70,7,167,38,20,152,184,430,185.0,69,9,19,200.0,206,bus
81,44,72.0,139,60,6,153,44,19,146,180,347,178.0,81,1,15,182.0,186,bus
93,34,66.0,140,56,7,130,51,18,120,151,251,114.0,62,5,29,201.0,207,opel
89,43,77.0,147,54,8,144,46,19,146,163,308,174.0,64,13,5,194.0,201,saab
117,52,110.0,228,65,12,212,31,24,163,228,668,220.0,66,21,25,194.0,205,saab
109,49,109.0,193,59,10,207,32,24,156,225,635,213.0,70,13,31,191.0,202,saab
94,46,79.0,181,62,8,167,40,20,148,190,418,193.0,67,12,15,191.0,198,opel
89,36,69.0,162,63,6,140,48,18,131,164,291,126.0,66,1,38,193.0,204,saab
84,39,90.0,180,60,7,177,37,21,131,209,469,145.0,71,4,38,190.0,198,opel
95,46,76.0,162,66,11,162,42,20,155,175,381,172.0,74,8,4,184.0,193,van
86,47,75.0,165,68,6,154,43,19,146,176,356,190.0,74,7,3,188.0,194,bus
85,40,72.0,139,59,5,132,50,18,135,159,260,150.0,68,3,9,191.0,195,saab
103,55,103.0,211,65,11,212,31,24,165,229,673,249.0,72,5,16,188.0,196,opel
88,44,84.0,135,55,12,155,44,20,158,176,351,164.0,75,7,11,183.0,195,van
98,38,72.0,192,69,5,166,38,20,131,189,427,138.0,70,1,3,200.0,202,bus
89,42,89.0,147,61,11,151,44,19,145,170,338,163.0,72,11,23,187.0,199,van
88,35,50.0,121,58,5,114,59,17,122,132,192,138.0,74,21,4,182.0,187,opel
83,45,73.0,161,68,8,142,46,18,144,169,305,179.0,71,10,3,191.0,199,van
101,51,98.0,194,60,10,195,34,22,161,219,572,219.0,67,0,10,192.0,201,saab
102,45,83.0,198,65,5,194,33,22,146,225,576,167.0,79,0,27,193.0,191,bus
93,43,85.0,133,54,10,155,44,19,153,174,351,165.0,75,12,13,184.0,196,van
94,37,74.0,169,59,7,162,41,20,133,178,394,130.0,63,6,6,198.0,204,opel
104,52,100.0,191,59,9,197,33,23,158,218,583,234.0,70,10,10,191.0,198,saab
87,45,66.0,139,58,8,140,47,18,148,168,294,175.0,73,3,12,188.0,196,van
80,37,57.0,116,55,6,125,54,18,125,142,229,132.0,81,8,5,178.0,184,opel
96,54,104.0,175,58,10,215,31,24,175,221,682,222.0,75,13,23,186.0,194,opel
107,55,103.0,213,68,11,219,30,25,172,221,709,216.0,70,10,7,187.0,197,saab
93,37,70.0,126,52,9,127,53,18,137,156,238,119.0,71,2,13,191.0,190,van
88,39,76.0,155,62,8,137,48,18,137,156,281,124.0,63,3,6,201.0,209,van
106,57,107.0,235,67,6,262,26,28,171,285,987,260.0,86,9,31,180.0,184,bus
84,45,66.0,154,65,6,145,46,19,144,168,312,177.0,73,2,3,184.0,188,bus
90,34,66.0,136,55,6,123,54,17,118,148,224,118.0,65,5,26,196.0,202,saab
100,51,109.0,224,67,9,217,30,24,162,238,704,206.0,72,6,18,189.0,199,opel
93,37,76.0,183,63,8,164,40,20,134,191,405,139.0,67,4,7,192.0,197,saab
94,49,87.0,137,54,11,158,43,20,162,178,366,186.0,75,5,5,183.0,194,van
89,38,80.0,169,59,7,161,41,20,131,186,389,137.0,68,5,15,192.0,197,saab
110,51,104.0,191,57,12,213,31,24,162,226,674,190.0,68,18,2,191.0,199,saab
109,52,104.0,199,60,12,215,31,24,162,220,691,212.0,67,11,7,189.0,199,saab
95,37,71.0,171,61,9,157,43,20,134,178,365,125.0,63,5,40,196.0,208,saab
89,41,76.0,183,73,7,157,42,19,136,181,373,153.0,74,8,12,191.0,195,bus
95,57,104.0,228,74,10,212,31,24,175,224,670,223.0,74,0,4,186.0,193,opel
93,37,73.0,174,68,7,151,43,19,131,175,347,135.0,68,1,22,196.0,205,bus
86,40,66.0,138,59,4,137,49,18,133,162,279,151.0,74,6,14,186.0,190,saab
88,41,80.0,147,62,8,146,45,19,144,169,318,161.0,71,4,16,188.0,197,van
89,44,72.0,160,66,7,144,46,19,147,166,312,169.0,69,11,1,,198,bus
85,42,66.0,120,53,7,149,45,19,145,173,325,163.0,85,5,4,180.0,182,bus
100,58,109.0,230,70,11,226,30,25,182,234,752,207.0,72,0,13,187.0,198,opel
84,38,74.0,138,57,8,139,49,18,127,160,282,127.0,72,9,20,183.0,191,opel
92,43,69.0,158,56,7,149,44,19,143,170,333,168.0,63,14,18,198.0,203,opel
80,44,68.0,120,53,8,151,45,19,146,170,333,190.0,80,4,16,180.0,185,bus
109,54,103.0,205,63,11,222,30,25,175,229,720,213.0,71,6,14,187.0,200,saab
109,49,103.0,186,57,11,206,32,23,156,212,630,186.0,65,12,21,192.0,201,opel
96,55,103.0,201,65,9,204,32,23,166,227,624,246.0,74,6,2,186.0,194,opel
93,41,82.0,159,63,9,144,46,19,143,160,309,127.0,63,6,10,199.0,207,van
83,44,70.0,166,69,5,143,46,18,143,166,306,170.0,69,7,6,188.0,193,bus
91,36,77.0,157,56,7,155,42,19,126,177,361,123.0,65,8,15,195.0,201,saab
89,36,68.0,141,59,8,139,47,18,130,166,291,127.0,73,7,1,189.0,196,van
91,41,93.0,197,65,9,183,36,21,137,202,504,153.0,66,11,24,,200,opel
82,37,59.0,134,63,7,135,51,18,128,151,264,143.0,82,11,24,179.0,185,saab
100,50,81.0,197,67,6,186,34,22,158,206,531,198.0,74,6,1,197.0,198,bus
95,43,71.0,159,64,6,145,45,19,141,169,322,171.0,67,8,4,195.0,200,bus
103,48,101.0,204,62,12,200,33,23,158,215,595,164.0,66,8,22,192.0,202,opel
97,41,92.0,197,63,10,179,37,21,140,197,481,136.0,63,4,3,197.0,204,opel
94,38,88.0,179,60,7,170,39,21,131,188,435,,66,2,28,195.0,204,saab
94,43,82.0,136,54,10,155,43,19,149,176,359,161.0,74,1,6,186.0,197,van
93,44,98.0,197,62,11,183,36,22,146,202,505,152.0,64,4,14,195.0,204,saab
85,34,53.0,127,58,6,116,58,17,121,137,197,127.0,70,3,20,185.0,189,saab
94,43,64.0,173,69,7,150,43,19,142,169,344,177.0,68,9,1,199.0,206,bus
91,45,76.0,171,69,7,150,44,19,144,170,340,179.0,69,12,1,195.0,201,bus
88,44,85.0,139,56,11,157,43,20,155,176,363,175.0,76,5,16,184.0,195,van
83,42,71.0,152,64,7,149,45,19,142,172,331,158.0,74,2,2,184.0,190,bus
96,44,68.0,190,70,7,155,41,19,145,179,372,166.0,67,5,7,202.0,206,bus
97,37,70.0,173,66,7,151,43,19,129,167,346,119.0,65,0,16,201.0,208,bus
94,45,72.0,179,69,6,156,41,19,144,181,373,191.0,69,5,5,193.0,198,bus
89,40,72.0,155,63,7,146,45,19,135,175,321,145.0,72,4,10,,196,bus
92,35,58.0,136,58,6,122,55,17,132,142,222,116.0,64,6,17,197.0,203,van
103,55,100.0,194,62,11,212,31,24,175,217,666,219.0,73,10,14,187.0,194,opel
85,45,65.0,128,56,8,151,45,19,145,170,332,186.0,81,1,10,179.0,184,bus
94,48,87.0,162,64,10,157,43,20,161,179,363,186.0,75,4,15,184.0,195,van
86,36,78.0,146,58,7,135,50,18,124,155,270,148.0,66,0,25,190.0,195,saab
78,36,51.0,116,56,4,120,57,17,124,135,209,135.0,84,1,12,177.0,184,opel
98,44,88.0,176,67,10,158,43,20,149,173,367,154.0,66,14,9,194.0,202,van
89,46,77.0,125,52,10,156,44,20,160,171,351,177.0,78,7,17,183.0,191,van
103,46,106.0,209,66,10,203,33,23,149,217,612,210.0,70,9,10,191.0,199,saab
99,38,74.0,184,66,6,164,39,20,131,193,414,137.0,71,2,22,200.0,202,bus
101,49,103.0,212,67,10,201,33,23,156,215,601,174.0,69,4,11,189.0,196,opel
106,49,106.0,211,64,9,208,32,24,158,224,645,184.0,68,1,24,190.0,202,saab
101,53,103.0,203,63,9,195,34,22,162,210,571,210.0,68,5,5,191.0,198,opel
96,46,88.0,174,68,10,155,43,19,148,173,354,182.0,69,14,15,194.0,202,van
97,44,95.0,202,66,9,188,35,22,144,216,526,175.0,72,15,11,190.0,197,saab
86,41,66.0,129,55,7,135,50,18,136,154,266,165.0,74,3,4,180.0,187,opel
86,44,78.0,164,68,9,142,46,18,147,168,305,171.0,70,1,11,190.0,201,van
105,51,105.0,197,60,11,191,35,22,162,207,545,194.0,64,18,4,196.0,205,saab
101,51,105.0,212,68,10,209,32,24,162,222,653,224.0,73,5,23,186.0,195,opel
93,47,88.0,200,66,7,173,38,21,151,197,452,205.0,66,0,3,195.0,202,saab
95,49,82.0,139,56,11,159,43,20,162,173,365,185.0,75,7,10,182.0,191,van
107,55,103.0,167,49,7,252,27,28,172,269,904,239.0,83,5,30,179.0,186,bus
96,37,74.0,199,74,5,165,39,20,128,188,419,136.0,72,1,3,196.0,200,bus
91,42,84.0,209,75,6,171,38,20,138,189,446,161.0,69,3,12,196.0,201,bus
104,52,110.0,172,53,10,219,30,25,166,235,711,218.0,74,10,28,188.0,198,opel
109,53,109.0,221,69,12,221,31,25,169,226,712,212.0,72,13,28,188.0,201,saab
90,46,80.0,143,62,11,159,43,20,156,169,366,186.0,74,17,7,185.0,193,van
92,41,66.0,125,52,7,139,50,18,143,160,275,161.0,81,7,19,182.0,184,van
88,37,57.0,132,62,6,135,50,18,125,151,265,144.0,83,16,16,180.0,184,saab
100,55,101.0,189,57,10,222,30,25,177,225,731,211.0,71,7,17,188.0,197,opel
95,48,83.0,178,72,10,162,42,20,159,176,379,184.0,70,6,16,187.0,197,van
94,46,77.0,169,60,8,158,42,20,148,181,373,181.0,67,12,2,193.0,199,saab
85,36,72.0,127,56,7,127,54,18,125,144,233,123.0,70,3,30,184.0,194,opel
105,51,93.0,160,51,7,217,30,24,165,240,703,208.0,81,9,25,188.0,188,bus
97,37,76.0,169,60,8,161,41,20,131,189,391,,72,0,0,188.0,192,opel
102,54,98.0,167,53,10,217,31,24,174,228,692,223.0,72,0,31,187.0,198,opel
93,35,78.0,162,60,8,150,45,19,125,172,331,137.0,67,2,33,191.0,198,opel
109,54,109.0,225,68,11,214,31,24,169,226,675,212.0,68,11,32,189.0,202,saab
84,42,76.0,156,64,7,151,44,19,143,179,339,157.0,75,0,20,187.0,193,bus
100,45,100.0,209,65,8,201,32,23,147,231,611,189.0,72,5,5,189.0,195,opel
105,54,106.0,215,68,10,208,32,24,166,217,640,218.0,69,14,23,189.0,199,saab
83,40,59.0,116,53,7,132,52,18,137,145,250,157.0,84,12,6,177.0,183,van
92,43,70.0,124,52,6,139,49,18,144,164,282,172.0,79,4,16,183.0,185,van
85,40,66.0,136,58,6,142,48,19,137,164,295,164.0,77,2,22,182.0,186,saab
107,57,106.0,179,51,8,257,26,28,172,275,954,232.0,83,2,20,181.0,184,bus
89,37,51.0,111,54,5,120,56,17,127,138,213,147.0,82,7,4,,183,van
92,46,82.0,170,58,8,165,40,20,149,181,409,164.0,61,8,11,200.0,208,opel
95,45,,186,62,7,164,40,20,145,188,406,178.0,65,11,18,199.0,204,opel
97,53,105.0,225,71,12,221,30,25,167,226,713,202.0,70,3,20,186.0,200,saab
90,39,57.0,114,48,7,135,51,18,139,155,261,151.0,85,12,8,183.0,182,van
91,46,101.0,199,65,9,196,34,23,146,219,574,199.0,73,5,8,186.0,194,opel
92,37,75.0,191,71,6,161,40,20,128,180,393,135.0,69,1,14,195.0,202,bus
89,47,81.0,156,57,8,161,41,20,149,187,388,197.0,72,9,15,187.0,193,opel
86,39,60.0,140,60,7,119,55,17,134,140,212,141.0,61,7,8,200.0,207,van
89,50,83.0,195,65,6,178,37,21,156,207,481,210.0,71,1,6,189.0,194,opel
107,52,103.0,186,57,11,214,31,24,162,217,676,189.0,66,6,5,189.0,198,opel
85,45,70.0,120,54,7,149,45,19,145,169,326,186.0,81,8,4,181.0,184,bus
90,50,90.0,188,61,10,181,36,21,158,211,492,220.0,69,6,19,191.0,199,saab
108,54,109.0,189,57,11,220,31,25,174,229,709,214.0,70,12,23,189.0,201,saab
91,43,70.0,133,55,8,130,51,18,146,159,253,156.0,70,1,8,190.0,194,van
89,40,69.0,147,58,6,132,50,18,137,155,260,151.0,61,16,6,203.0,209,opel
97,45,72.0,187,71,5,161,40,20,144,178,399,186.0,70,7,7,196.0,203,bus
100,51,109.0,231,70,11,220,30,25,163,238,722,206.0,73,11,19,189.0,198,opel
91,39,88.0,189,63,9,175,38,21,132,197,457,156.0,69,0,23,191.0,198,saab
86,43,,130,56,7,152,44,19,142,177,340,173.0,81,6,14,181.0,185,bus
85,36,66.0,123,55,5,120,56,17,128,140,212,131.0,73,1,18,186.0,190,van
94,49,82.0,137,56,10,159,43,20,160,176,367,186.0,76,10,7,183.0,192,van
85,39,77.0,151,59,8,150,45,19,134,176,331,133.0,73,0,16,184.0,193,opel
85,39,68.0,119,52,5,128,53,18,135,148,241,142.0,75,8,8,182.0,187,van
90,42,63.0,144,59,7,131,50,18,142,154,259,162.0,65,15,3,197.0,204,van
94,45,89.0,213,71,5,186,35,22,145,204,533,182.0,71,4,13,195.0,198,bus
82,45,66.0,252,126,52,148,45,19,144,237,326,185.0,119,1,1,181.0,185,bus
99,50,88.0,204,64,10,185,35,22,159,209,517,193.0,66,12,11,194.0,201,opel
84,38,66.0,138,62,6,126,54,18,132,144,232,139.0,70,4,7,185.0,190,opel
94,50,84.0,138,57,10,156,44,20,170,171,351,187.0,77,5,6,182.0,191,van
90,49,85.0,141,57,11,159,43,20,167,173,365,,75,1,11,182.0,192,van
102,54,98.0,177,56,10,219,31,25,171,219,706,223.0,72,5,17,186.0,196,opel
89,44,70.0,137,58,6,136,49,18,146,168,273,166.0,78,10,3,186.0,187,van
85,45,70.0,130,58,8,151,45,19,146,171,334,187.0,79,2,5,181.0,186,bus
82,43,71.0,154,68,7,150,45,19,143,171,330,173.0,78,7,11,181.0,186,bus
89,47,84.0,133,55,11,157,44,20,160,169,354,176.0,74,5,9,182.0,192,van
81,45,68.0,154,69,22,151,45,19,147,186,335,186.0,88,1,10,180.0,185,bus
93,36,64.0,165,69,8,136,49,18,136,161,279,127.0,67,2,29,193.0,204,van
85,45,71.0,150,63,8,143,46,19,147,171,307,179.0,72,2,3,187.0,196,van
94,46,91.0,175,70,12,157,43,20,155,172,358,192.0,69,15,21,190.0,200,van
88,40,55.0,114,53,7,132,53,18,139,142,249,158.0,87,0,7,176.0,183,van
100,41,75.0,205,71,5,176,36,21,138,204,479,151.0,72,7,19,197.0,197,bus
86,43,69.0,123,54,6,150,46,19,144,174,325,177.0,87,3,7,180.0,182,bus
78,38,63.0,115,51,6,142,47,19,130,162,299,146.0,77,2,4,181.0,185,saab
84,37,70.0,150,61,7,137,49,18,140,156,278,121.0,64,0,23,196.0,205,van
101,52,101.0,197,62,9,188,35,22,162,208,527,203.0,67,14,15,193.0,202,saab
111,58,105.0,183,51,6,265,26,29,174,285,1018,255.0,85,4,8,181.0,183,bus
103,54,107.0,189,56,11,223,30,25,174,225,729,200.0,70,0,29,187.0,201,opel
113,57,109.0,194,56,6,260,26,28,175,288,982,261.0,85,11,21,182.0,183,bus
81,47,69.0,146,64,6,151,44,19,147,171,340,195.0,75,5,0,183.0,188,bus
104,52,101.0,206,62,10,198,33,23,161,207,587,204.0,64,2,5,195.0,204,opel
106,49,107.0,194,57,11,214,31,24,161,224,670,172.0,67,0,39,192.0,206,opel
91,44,66.0,151,63,7,137,48,18,146,166,280,167.0,72,1,9,188.0,194,van
96,41,77.0,177,64,5,177,36,21,134,205,485,148.0,74,0,4,196.0,198,bus
90,46,73.0,137,58,11,161,43,20,158,170,373,186.0,76,0,9,182.0,193,van
